Number,Owned,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,FALSE,,Logo,,,,,
2,FALSE,,Logo,,,,,
3,FALSE,,Logo,,,,,
4,FALSE,,Logo,,,,,
5,FALSE,,Logo,,,ALPECIN-DECEUNINCK,,
6,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
7,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
8,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
9,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
10,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
11,FALSE,,Maillot,,,ALPECIN-DECEUNINCK,,
12,FALSE,,Vélo,,,ALPECIN-DECEUNINCK,,
13,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
14,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
15,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
16,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
17,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
18,FALSE,,Logo,,,ARKEA-B&B HOTELS,,
19,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
20,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
21,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
22,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
23,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
24,FALSE,,Maillot,,,ARKEA-B&B HOTELS,,
25,FALSE,,Vélo,,,ARKEA-B&B HOTELS,,
26,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
27,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
28,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
29,TRUE,,Coureur,Alessandro Verre,ITA,ARKEA-B&B HOTELS,,
30,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
31,FALSE,,Logo,,,BAHRAIN VICTORIOUS,,
32,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
33,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
34,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
35,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
36,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
37,FALSE,,Maillot,,,BAHRAIN VICTORIOUS,,
38,FALSE,,Vélo,,,BAHRAIN VICTORIOUS,,
39,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
40,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
41,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
42,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
43,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
44,FALSE,,Logo,,,COFIDIS,,
45,FALSE,,Coureur,,,COFIDIS,,
46,FALSE,,Coureur,,,COFIDIS,,
47,FALSE,,Coureur,,,COFIDIS,,
48,FALSE,,Coureur,,,COFIDIS,,
49,FALSE,,Coureur,,,COFIDIS,,
50,FALSE,,Maillot,,,COFIDIS,,
51,FALSE,,Vélo,,,COFIDIS,,
52,FALSE,,Coureur,,,COFIDIS,,
53,FALSE,,Coureur,,,COFIDIS,,
54,FALSE,,Coureur,,,COFIDIS,,
55,FALSE,,Coureur,,,COFIDIS,,
56,FALSE,,Coureur,,,COFIDIS,,
57,FALSE,,Logo,,,DECATHLON AG2R LA MONDIALE TEAM,,
58,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
59,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
60,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
61,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
62,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
