Number,Owned,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,FALSE,,Logo,,,,,
2,FALSE,,Coureur,,,,,
3,FALSE,,Coureur,,,,,
4,FALSE,,Coureur,,,,,
5,FALSE,,Coureur,,,,,
6,FALSE,,Coureur,,,,,
7,FALSE,,Coureur,,,,,
8,FALSE,,Ville,,,,,
9,FALSE,,Ville,,,,,
T01,FALSE,,Instantané,,,,,
10,FALSE,,Ville,,,,,
T02,FALSE,,Instantané,,,,,
11,FALSE,,Ville,,,,,
T03,FALSE,,Instantané,,,,,
12,FALSE,,Ville,,,,,
T04,FALSE,,Instantané,,,,,
13,FALSE,,Ville,,,,,
T05,FALSE,,Instantané,,,,,
14,FALSE,,Ville,,,,,
T06,FALSE,,Instantané,,,,,
15,FALSE,,Ville,,,,,
T07,FALSE,,Instantané,,,,,
16,FALSE,,Ville,,,,,
T08,FALSE,,Instantané,,,,,
17,FALSE,,Ville,,,,,
T09,FALSE,,Instantané,,,,,
18,FALSE,,Ville,,,,,
T10,FALSE,,Instantané,,,,,
19,FALSE,,Ville,,,,,
T11,FALSE,,Instantané,,,,,
20,FALSE,,Ville,,,,,
T12,FALSE,,Instantané,,,,,
21,FALSE,,Ville,,,,,
T13,FALSE,,Instantané,,,,,
22,FALSE,,Ville,,,,,
T14,FALSE,,Instantané,,,,,
23,FALSE,,Ville,,,,,
T15,FALSE,,Instantané,,,,,
24,FALSE,,Ville,,,,,
T16,FALSE,,Instantané,,,,,
25,FALSE,,Ville,,,,,
T17,FALSE,,Instantané,,,,,
26,FALSE,,Ville,,,,,
T18,FALSE,,Instantané,,,,,
27,FALSE,,Ville,,,,,
T19,FALSE,,Instantané,,,,,
28,FALSE,,Ville,,,,,
T20,FALSE,,Instantané,,,,,
29,FALSE,,Ville,,,,,
T21,FALSE,,Instantané,,,,,
T22,FALSE,,Instantané,,,,,
T23,FALSE,,Instantané,,,,,
T24,FALSE,,Instantané,,,,,
T25,FALSE,,Instantané,,,,,
30,FALSE,,Logo,,,AG2R CITROËN TEAM,,
31,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
32,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
33,FALSE,,,,,AG2R CITROËN TEAM,,
34,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
35,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
36,FALSE,,,,,AG2R CITROËN TEAM,,
37,FALSE,,,,,AG2R CITROËN TEAM,,
38,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
39,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
40,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
41,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
42,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
43,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
44,FALSE,,Logo,,,ALPECIN-DECEUNINCK,,
45,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
46,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
47,FALSE,,,,,ALPECIN-DECEUNINCK,,
48,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
49,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
50,FALSE,,,,,ALPECIN-DECEUNINCK,,
51,FALSE,,,,,ALPECIN-DECEUNINCK,,
52,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
53,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
54,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
55,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
56,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
57,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
58,FALSE,,Logo,,,ASTANA QAZAQSTAN TEAM,,
59,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
60,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
61,FALSE,,,,,ASTANA QAZAQSTAN TEAM,,
62,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
63,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
64,FALSE,,,,,ASTANA QAZAQSTAN TEAM,,
65,FALSE,,,,,ASTANA QAZAQSTAN TEAM,,
66,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
67,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
68,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
69,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
70,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
71,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
72,FALSE,,Logo,,,BAHRAIN VICTORIOUS,,
73,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
74,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
75,FALSE,,,,,BAHRAIN VICTORIOUS,,
76,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
77,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
78,FALSE,,,,,BAHRAIN VICTORIOUS,,
79,FALSE,,,,,BAHRAIN VICTORIOUS,,
80,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
81,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
82,TRUE,,Coureur,Nikias Arndt,GER,BAHRAIN VICTORIOUS,,
83,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
84,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
85,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
86,FALSE,,Logo,,,BORA-HANSGROHE,,
87,FALSE,,Coureur,,,BORA-HANSGROHE,,
88,FALSE,,Coureur,,,BORA-HANSGROHE,,
89,FALSE,,,,,BORA-HANSGROHE,,
90,FALSE,,Coureur,,,BORA-HANSGROHE,,
91,FALSE,,Coureur,,,BORA-HANSGROHE,,
92,FALSE,,,,,BORA-HANSGROHE,,
93,FALSE,,,,,BORA-HANSGROHE,,
94,FALSE,,Coureur,,,BORA-HANSGROHE,,
95,FALSE,,Coureur,,,BORA-HANSGROHE,,
96,FALSE,,Coureur,,,BORA-HANSGROHE,,
97,FALSE,,Coureur,,,BORA-HANSGROHE,,
98,FALSE,,Coureur,,,BORA-HANSGROHE,,
99,FALSE,,Coureur,,,BORA-HANSGROHE,,
100,FALSE,,Logo,,,COFIDIS,,
101,FALSE,,Coureur,,,COFIDIS,,
102,FALSE,,Coureur,,,COFIDIS,,
103,FALSE,,,,,COFIDIS,,
104,FALSE,,Coureur,,,COFIDIS,,
105,FALSE,,Coureur,,,COFIDIS,,
106,FALSE,,,,,COFIDIS,,
107,FALSE,,,,,COFIDIS,,
108,FALSE,,Coureur,,,COFIDIS,,
109,FALSE,,Coureur,,,COFIDIS,,
110,FALSE,,Coureur,,,COFIDIS,,
111,FALSE,,Coureur,,,COFIDIS,,
112,FALSE,,Coureur,,,COFIDIS,,
113,FALSE,,Coureur,,,COFIDIS,,
114,FALSE,,Logo,,,EF EDUCATION-EASYPOST,,
115,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
116,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
117,FALSE,,,,,EF EDUCATION-EASYPOST,,
118,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
119,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
120,FALSE,,,,,EF EDUCATION-EASYPOST,,
121,FALSE,,,,,EF EDUCATION-EASYPOST,,
122,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
123,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
124,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
125,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
126,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
127,FALSE,,Coureur,,,EF EDUCATION-EASYPOST,,
128,FALSE,,Logo,,,GROUPAMA-FDJ,,
129,FALSE,,Coureur,,,GROUPAMA-FDJ,,
130,FALSE,,Coureur,,,GROUPAMA-FDJ,,
131,FALSE,,,,,GROUPAMA-FDJ,,
132,FALSE,,Coureur,,,GROUPAMA-FDJ,,
133,FALSE,,Coureur,,,GROUPAMA-FDJ,,
134,FALSE,,,,,GROUPAMA-FDJ,,
135,FALSE,,,,,GROUPAMA-FDJ,,
136,FALSE,,Coureur,,,GROUPAMA-FDJ,,
137,FALSE,,Coureur,,,GROUPAMA-FDJ,,
138,FALSE,,Coureur,,,GROUPAMA-FDJ,,
139,FALSE,,Coureur,,,GROUPAMA-FDJ,,
140,FALSE,,Coureur,,,GROUPAMA-FDJ,,
141,FALSE,,Coureur,,,GROUPAMA-FDJ,,
142,FALSE,,Logo,,,INEOS GRENADIERS,,
143,FALSE,,Coureur,,,INEOS GRENADIERS,,
144,FALSE,,Coureur,,,INEOS GRENADIERS,,
145,FALSE,,,,,INEOS GRENADIERS,,
146,FALSE,,Coureur,,,INEOS GRENADIERS,,
147,FALSE,,Coureur,,,INEOS GRENADIERS,,
148,FALSE,,,,,INEOS GRENADIERS,,
149,FALSE,,,,,INEOS GRENADIERS,,
