Number,On a,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,FALSE,,Logo,,,,,
2,TRUE,,Coureur,Fredreico Bahamontes,,,,
3,FALSE,,Coureur,,,,,
4,FALSE,,Coureur,,,,,
5,FALSE,,Coureur,,,,,
6,FALSE,,Coureur,,,,,
7,TRUE,,Coureur,Alberto Contador,,,⭐,
8,TRUE,,Coureur,Carlos Sastre,,,,
9,TRUE,,Ville,Barcelone,,,,
10,TRUE,,Ville,Barcelone,,,⭐,
11,FALSE,,Ville,,,,,
12,TRUE,,Ville,Les Angles,,,,
13,FALSE,,Ville,,,,,
14,FALSE,,Ville,,,,,
15,FALSE,,Ville,,,,,
16,FALSE,,Ville,,,,,
17,TRUE,,Ville,Perigueux,,,,
18,TRUE,,Ville,Ussel,,,,
19,TRUE,,Ville,Aurillac,,,,
20,FALSE,,Ville,,,,,
21,TRUE,,Ville,Chalon sur Saone,,,,
22,FALSE,,Ville,,,,,
23,FALSE,,Ville,,,,,
24,FALSE,,Ville,,,,,
25,TRUE,,Ville,Evian les Bains,,,,
26,TRUE,,Ville,Voiron,,,,
27,FALSE,,Ville,,,,,
28,TRUE,,Ville,Alpe d'Huez,,,⭐,
29,FALSE,,Ville,,,,,
30,FALSE,,Ville,,,,,
31,FALSE,,Logo,,,ALPECIN-PREMIER TECH,,
32,TRUE,,Equipe,Team Alpecin,,ALPECIN-PREMIER TECH,,
33,TRUE,,Coureur,Mathieu Van der Poel,NED,ALPECIN-PREMIER TECH,⭐,2
34,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
35,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
36,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
37,FALSE,,Maillot,,,ALPECIN-PREMIER TECH,,
38,FALSE,,Vélo,,,ALPECIN-PREMIER TECH,,
39,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
40,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
41,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
42,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
43,TRUE,,Coureur,Edward Planckaert,BEL,ALPECIN-PREMIER TECH,,
44,TRUE,,Coureur,Florian Senechal,FRA,ALPECIN-PREMIER TECH,,
45,TRUE,,Logo,Logo Barhain,,BAHRAIN VICTORIOUS,,
46,FALSE,,Equipe,,,BAHRAIN VICTORIOUS,,
47,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
48,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
49,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
50,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
51,TRUE,,Maillot,Maillot Bahrain,,BAHRAIN VICTORIOUS,,
52,FALSE,,Vélo,,,BAHRAIN VICTORIOUS,,
53,TRUE,,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,,
54,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
55,TRUE,,Coureur,Kamil Gradek,POL,BAHRAIN VICTORIOUS,,
56,TRUE,,Coureur,Matej Mohoric,SVN,BAHRAIN VICTORIOUS,,
57,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
58,TRUE,,Coureur,Attila Valter,HUN,BAHRAIN VICTORIOUS,,
59,FALSE,,Logo,,,DECATHLON CMA CGM TEAM,,
60,TRUE,,Equipe,Team Decathlon,,DECATHLON CMA CGM TEAM,⭐,
61,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
62,TRUE,,Coureur,Paul Seixas,FRA,DECATHLON CMA CGM TEAM,⭐,1
63,TRUE,,Coureur,Tiesj Benoot,BEL,DECATHLON CMA CGM TEAM,,
64,TRUE,,Coureur,Stefan Bisseger,SUI,DECATHLON CMA CGM TEAM,,
65,FALSE,,Maillot,,,DECATHLON CMA CGM TEAM,,
66,TRUE,,Vélo,Bike Decathlon,,DECATHLON CMA CGM TEAM,⭐,
67,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
