28,TRUE,,Ville,Alpe d'Huez,,,⭐,
29,TRUE,,Coureur,Michal Kwiatkowski,POL,INEOS GRENADIERS,,
30,TRUE,,Coureur,Huub Artz,NED,LOTTO - INTERMARCHE,,
31,TRUE,,Coureur,Ilan Van Wilder,BEL,SOUDAL QUICK STEP,,
32,TRUE,4,Coureur,Nicola Conci,ITA,XDS ASTANA TEAM,,
33,TRUE,,Coureuse,Linda Zanetti,,UNO - X MOBILITY,,
19,TRUE,,Ville,Aurillac,,,,
20,TRUE,,Coureur,Edward Planckaert,BEL,ALPECIN-PREMIER TECH,,
21,TRUE,,Coureur,Ben Healy,IRL,EF EDUCATION - EASYPOST,⭐,
22,TRUE,,Coureur,Bert Van Lerberghe,BEL,SOUDAL QUICK STEP,,
23,TRUE,,Coureuse,Zoe Bäckstedt,GBR,CANYON // SRAM ZONDACRYPTO,,
18,TRUE,,Ville,Ussel,,,,
19,TRUE,,Maillot,Maillot Bahrain,,BAHRAIN VICTORIOUS,,
20,TRUE,,Equipe,Team UAE,,UAE TEAM EMIRATES - XRG,⭐,
21,TRUE,,Coureuse,Christina Schweinberger,AUT,FENIX - PREMIER TECH,,
22,TRUE,,Coureuse,Rachele Barbieri,ITA,TEAM PICNIC POSTNL,,
8,TRUE,,Coureur,Carlos Sastre,,,,
9,TRUE,,Coureur,Attila Valter,HUN,BAHRAIN VICTORIOUS,,
10,TRUE,,Coureur,Jasper de Buyst,BEL,LOTTO - INTERMARCHE,,
11,TRUE,,Coureur,Matis Louvel,FRA,NSN CYCLING TEAM,,
12,TRUE,,Equipe,Team Astana,,XDS ASTANA TEAM,,
13,TRUE,,Vélo,Vélo FDJ,,GROUPAMA - FDJ UNITED,,
14,TRUE,,Equipe,Team Lidl,,LIDL -TREK,,
15,TRUE,,Maillot,Maillot UAE,,UAE TEAM EMIRATES - XRG,⭐,
16,TRUE,,Coureuse,Charlotte Kool,NED,FENIX - PREMIER TECH,,
2,TRUE,,Coureur,Fredreico Bahamontes,,,,
3,TRUE,,Coureur,Toms Skujins,LVA,LIDL -TREK,,
4,TRUE,,Coureur,Biniam Girmay,ERI,NSN CYCLING TEAM,⭐,
5,TRUE,,Coureur,Anthon Charmig,DEN,UNO - X MOBILITY,,
6,TRUE,,Coureuse,Riejanne Markus,NED,LIDL - TREK,,
7,TRUE,,Vélo,Bike Decathlon,,DECATHLON CMA CGM TEAM,⭐,
8,TRUE,,Coureur,Kevin Vauquelin,FRA,INEOS GRENADIERS,⭐,
8,TRUE,,Logo,Logo Jayco,,TEAM JAYCO ALULA,,
9,TRUE,,Coureur,Aaron Gate,NZL,XDS ASTANA TEAM,,
10,TRUE,,Coureuse,Marianne Vos,NED,TEAM VISMA | LEASE A BIKE,⭐,
10,TRUE,,Logo,Logo FDJ,,GROUPAMA - FDJ UNITED,,
11,TRUE,,Coureur,Ewen Costiou,FRA,GROUPAMA - FDJ UNITED,,
12,TRUE,,Coureur,Sam Watson,GBR,INEOS GRENADIERS,,
13,TRUE,,Coureur,Mathias Vacek,CZE,LIDL -TREK,,
14,TRUE,,Vélo,Velo picnic,,TEAM PICNIC POSTNL,,
7,TRUE,,Coureur,Alberto Contador,,,⭐,
8,TRUE,,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,,
9,TRUE,,Coureur,Lennard Kamna,GER,LIDL -TREK,,
9,TRUE,,Logo,Logo Red Bull,,RED BULL - BORA - HANSGROHE,,
10,TRUE,,Coureur,Jai Hindley,AUS,RED BULL - BORA - HANSGROHE,⭐,
11,FALSE,,Coureur,Tiesj Benoot,BEL,DECATHLON CMA CGM TEAM,,
12,FALSE,,Coureur,Bjorn Koerdt,GBR,TEAM PICNIC POSTNL,,
13,FALSE,,Coureur,Ben Tulett,GBR,TEAM VISMA | LEASE A BIKE,⭐,
14,FALSE,,Coureuse,Puck Pieterse,NED,FENIX - PREMIER TECH,,
15,FALSE,,Coureuse,Ella Wyllie,NZL,LIV - ALULA - JAYCO,,
15,FALSE,,Ville,Les Angles,,,,
21,FALSE,,Ville,Chalon sur Saone,,,,
22,FALSE,,Coureur,Pablo Castrillo,ESP,MOVISTAR TEAM,,
23,FALSE,,Coureur,Florian Lipowitz,GER,RED BULL - BORA - HANSGROHE,⭐,
24,FALSE,,Coureur,Julius Van Den Berg,NED,TEAM PICNIC POSTNL,,
25,FALSE,,Coureur,Cees Bol,NED,DECATHLON CMA CGM TEAM,,
26,FALSE,,Coureur,Richard Carapaz,ECU,EF EDUCATION - EASYPOST,⭐,
27,FALSE,,Coureur,Roger Adria,ESP,MOVISTAR TEAM,,
28,FALSE,,Coureur,Simone Velasco,ITA,XDS ASTANA TEAM,,
29,FALSE,,Coureuse,Katrine Aalerud,NOR,UNO - X MOBILITY,,
17,FALSE,,Ville,Perigueux,,,,
18,FALSE,15,Coureur,Ivan Romeo,ESP,MOVISTAR TEAM,,
19,FALSE,,Coureur,Maximilian Schachmann,GER,SOUDAL QUICK STEP,,
20,FALSE,,Vélo,Velo Visma!,,TEAM VISMA | LEASE A BIKE,⭐,
21,FALSE,,Coureuse,Sarag Gigante,AUS,AG INSURANCE - SOUDAL TEAM,,
22,FALSE,,Equipe,Team Alpecin,,ALPECIN-PREMIER TECH,,
23,FALSE,,Vélo,Velo UAE,,UAE TEAM EMIRATES - XRG,⭐,
24,FALSE,,Vélo,Velo Astana,,XDS ASTANA TEAM,,
25,FALSE,,Coureuse,Marlen Reusser,SUI,MOVIESTAR TEAM,,
26,FALSE,,Coureuse,Tota Magalhaes,BRA,MOVIESTAR TEAM,,
27,FALSE,,Coureur,Florian Senechal,FRA,ALPECIN-PREMIER TECH,,
28,FALSE,,Coureur,Harry Sweeny,AUS,EF EDUCATION - EASYPOST,⭐,
29,FALSE,,Coureur,Raul Garcia Pierna,ESP,MOVISTAR TEAM,,
30,FALSE,,Coureur,John Degenkolb,GER,TEAM PICNIC POSTNL,,
31,FALSE,,Coureuse,Noemi Ruegg,SUI,EF EDUCATION - OATLY,,
25,FALSE,,Ville,Evian les Bains,,,,
32,FALSE,,Logo,Logo Barhain,,BAHRAIN VICTORIOUS,,
33,FALSE,,Coureur,Niklas Markl,GER,TEAM PICNIC POSTNL,,
34,FALSE,,Coureur,Soren Waerenskjold,NOR,UNO - X MOBILITY,,
35,FALSE,,Equipe,Team Decathlon,,DECATHLON CMA CGM TEAM,⭐,
36,FALSE,,Coureur,Javier Romo,ESP,MOVISTAR TEAM,,
37,FALSE,,Coureur,Marc Soler,ESP,UAE TEAM EMIRATES - XRG,⭐,
38,FALSE,,Coureur,Max Kanter,GER,XDS ASTANA TEAM,,
39,FALSE,,Coureuse,Elisa Balsamo,ITA,LIDL - TREK,,
26,FALSE,,Ville,Voiron,,,,
27,FALSE,,Coureur,Kamil Gradek,POL,BAHRAIN VICTORIOUS,,
28,FALSE,,Coureur,Paul Penhoet,FRA,GROUPAMA - FDJ UNITED,,
29,FALSE,,Vélo,Velo NSN,,NSN CYCLING TEAM,,
30,FALSE,,Coureuse,Lorena Wiebes,NED,TEAM SD WORX - PROTIME,,
31,FALSE,,Coureur,Alex Baudin,FRA,EF EDUCATION - EASYPOST,,
32,FALSE,,Equipe,Team Ineos,,INEOS GRENADIERS,,
33,FALSE,,Coureur,Mikel Landa,ESP,SOUDAL QUICK STEP,,
34,FALSE,,Coureur,Bruno Amirail,FRA,TEAM VISMA | LEASE A BIKE,⭐,
35,FALSE,,Vélo,Velo Uno,,UNO - X MOBILITY,,
10,FALSE,,Ville,Barcelone,,,⭐,
11,FALSE,,Maillot,Maillot Ineos,,INEOS GRENADIERS,,
12,FALSE,,Coureur,Primoz Roglic,SVN,RED BULL - BORA - HANSGROHE,⭐,
13,FALSE,,Coureuse,Demi Vollering,NED,FDJ UNITED SUEZ,⭐,
14,FALSE,,Coureuse,Barbara Malcotti,ITA,HUMAN POWERED HEALTH,,
15,FALSE,,Coureur,Matej Mohoric,SVN,BAHRAIN VICTORIOUS,,
16,FALSE,,Coureur,Jenno Berckmoes,BEL,LOTTO - INTERMARCHE,,
17,FALSE,,Coureur,Laurence Pithie,NZL,RED BULL - BORA - HANSGROHE,,
18,FALSE,,Coureur,Koen Bouwman,NED,TEAM JAYCO ALULA,,
18,FALSE,,Logo,Logo Uno,,UNO - X MOBILITY,,
9,FALSE,,Ville,Barcelone,,,,
10,FALSE,,Coureur,Stefan Bisseger,SUI,DECATHLON CMA CGM TEAM,,
11,FALSE,,Equipe,Team Groupama,,GROUPAMA - FDJ UNITED,,
12,FALSE,,Vélo,Bile Movistar,,MOVISTAR TEAM,,
13,FALSE,,Coureur,Wilco Kelderman,NED,TEAM VISMA | LEASE A BIKE,,
14,FALSE,,Coureur,Paul Seixas,FRA,DECATHLON CMA CGM TEAM,⭐,1
15,FALSE,,Coureur,Tom Van Asbroeck,BEL,NSN CYCLING TEAM,,
16,FALSE,,Coureur,Nils Politt,GER,UAE TEAM EMIRATES - XRG,,
17,FALSE,,Maillot,Maillot Uno,,UNO - X MOBILITY,,
18,FALSE,,Coureuse,Justine Ghekiere,BEL,AG INSURANCE - SOUDAL TEAM,,
19,FALSE,,Coureur,Mathieu Van der Poel,NED,ALPECIN-PREMIER TECH,⭐,2
20,FALSE,,Coureur,Cedric Beullens,BEL,LOTTO - INTERMARCHE,,
21,FALSE,,Coureur,Sean Flynn,GBR,TEAM PICNIC POSTNL,,
22,FALSE,,Coureur,Adam Yates,GBR,UAE TEAM EMIRATES - XRG,⭐,3
23,FALSE,,Maillot,Maillot Astana,,XDS ASTANA TEAM,,
1,FALSE,,Logo,,,,,
3,FALSE,,Coureur,,,,,
4,FALSE,,Coureur,,,,,
5,FALSE,,Coureur,,,,,
6,FALSE,,Coureur,,,,,
1,FALSE,,Ville,,,,,
13,FALSE,,Ville,,,,,
14,FALSE,,Ville,,,,,
15,FALSE,,Ville,,,,,
16,FALSE,,Ville,,,,,
20,FALSE,,Ville,,,,,
22,FALSE,,Ville,,,,,
23,FALSE,,Ville,,,,,
24,FALSE,,Ville,,,,,
27,FALSE,,Ville,,,,,
29,FALSE,,Ville,,,,,
30,FALSE,,Ville,,,,,
31,FALSE,,Logo,,,ALPECIN-PREMIER TECH,,
32,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
33,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
34,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
35,FALSE,,Maillot,,,ALPECIN-PREMIER TECH,,
36,FALSE,,Vélo,,,ALPECIN-PREMIER TECH,,
37,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
38,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
39,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
40,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
1,FALSE,,Equipe,,,BAHRAIN VICTORIOUS,,
2,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
3,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
4,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
5,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
6,FALSE,,Vélo,,,BAHRAIN VICTORIOUS,,
7,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
8,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
9,FALSE,,Logo,,,DECATHLON CMA CGM TEAM,,
10,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
11,FALSE,,Maillot,,,DECATHLON CMA CGM TEAM,,
12,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
13,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
14,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
15,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
16,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
17,FALSE,,Logo,,,EF EDUCATION - EASYPOST,,
18,FALSE,,Equipe,,,EF EDUCATION - EASYPOST,,
19,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
20,FALSE,,Maillot,,,EF EDUCATION - EASYPOST,,
21,FALSE,,Vélo,,,EF EDUCATION - EASYPOST,,
22,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
23,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
24,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
25,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
26,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
1,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
2,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
3,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
4,FALSE,,Maillot,,,GROUPAMA - FDJ UNITED,,
5,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
6,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
7,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
8,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
9,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
10,FALSE,,Logo,,,INEOS GRENADIERS,,
11,FALSE,,Coureur,,,INEOS GRENADIERS,,
12,FALSE,,Coureur,,,INEOS GRENADIERS,,
13,FALSE,,Coureur,,,INEOS GRENADIERS,,
14,FALSE,,Vélo,,,INEOS GRENADIERS,,
15,FALSE,,Coureur,,,INEOS GRENADIERS,,
16,FALSE,,Coureur,,,INEOS GRENADIERS,,
17,FALSE,,Coureur,,,INEOS GRENADIERS,,
18,FALSE,,Coureur,,,INEOS GRENADIERS,,
19,FALSE,,Logo,,,LIDL -TREK,,
20,FALSE,,Coureur,,,LIDL -TREK,,
21,FALSE,,Coureur,,,LIDL -TREK,,
22,FALSE,,Coureur,,,LIDL -TREK,,
23,FALSE,,Coureur,,,LIDL -TREK,,
24,FALSE,,Maillot,,,LIDL -TREK,,
25,FALSE,,Vélo,,,LIDL -TREK,,
26,FALSE,,Coureur,,,LIDL -TREK,,
27,FALSE,,Coureur,,,LIDL -TREK,,
28,FALSE,,Coureur,,,LIDL -TREK,,
29,FALSE,,Logo,,,LOTTO - INTERMARCHE,,
30,FALSE,,Equipe,,,LOTTO - INTERMARCHE,,
31,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
32,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
33,FALSE,,Maillot,,,LOTTO - INTERMARCHE,,
34,FALSE,,Vélo,,,LOTTO - INTERMARCHE,,
35,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
36,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
37,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
38,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
39,FALSE,,Logo,,,MOVISTAR TEAM,,
40,FALSE,,Equipe,,,MOVISTAR TEAM,,
41,FALSE,,Coureur,,,MOVISTAR TEAM,,
42,FALSE,,Coureur,,,MOVISTAR TEAM,,
43,FALSE,,Maillot,,,MOVISTAR TEAM,,
44,FALSE,,Coureur,,,MOVISTAR TEAM,,
45,FALSE,,Coureur,,,MOVISTAR TEAM,,
46,FALSE,,Coureur,,,MOVISTAR TEAM,,
47,FALSE,,Logo,,,NSN CYCLING TEAM,,
48,FALSE,,Equipe,,,NSN CYCLING TEAM,,
49,FALSE,,Coureur,,,NSN CYCLING TEAM,,
50,FALSE,,Coureur,,,NSN CYCLING TEAM,,
51,FALSE,,Coureur,,,NSN CYCLING TEAM,,
52,FALSE,,Maillot,,,NSN CYCLING TEAM,,
53,FALSE,,Coureur,,,NSN CYCLING TEAM,,
54,FALSE,,Coureur,,,NSN CYCLING TEAM,,
55,FALSE,,Coureur,,,NSN CYCLING TEAM,,
56,FALSE,,Coureur,,,NSN CYCLING TEAM,,
1,FALSE,,Equipe,,,RED BULL - BORA - HANSGROHE,,
2,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
3,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
4,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
5,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
