Number,On a,Doubles,Type,Name,Country,Equipe,Packet,Fav?,Top 3
1,TRUE,,Logo,Logo TdF ,,,43,⭐,
2,TRUE,52,Coureur,Fredreico Bahamontes,,,5,,
3,TRUE,,Coureur,Luis Ocana ,,,40,,
4,TRUE,,Coureur,Pedro Delgado,,,30,,
5,FALSE,,Coureur,,,,,,
6,TRUE,,Coureur,Oscar Pereiro,,,30,,
7,TRUE,47,Coureur,Alberto Contador,,,8,⭐,
8,TRUE,,Coureur,Carlos Sastre,,,3,,
9,TRUE,,Ville,Barcelone,,,21,,
10,TRUE,,Ville,Barcelone,,,19,⭐,
T01,FALSE,,Instantané,,,,,,
11,TRUE,,Ville,Tarragone,,,30,,
T02,FALSE,,Instantané,,,,,,
12,TRUE,28,Ville,Les Angles,,,10,,
T03,FALSE,,Instantané,,,,,,
13,TRUE,,Ville,,,,37,,
T04,FALSE,,Instantané,Carcassonne,,,,,
14,FALSE,,Ville,,,,,,
T05,FALSE,,Instantané,,,,,,
15,FALSE,,Ville,,,,,,
T06,FALSE,,Instantané,,,,,,
16,FALSE,,Ville,,,,,,
T07,FALSE,,Instantané,,,,,,
17,TRUE,,Ville,Perigueux,,,12,,
T08,FALSE,,Instantané,,,,,,
18,TRUE,,Ville,Ussel,,,2,,
T09,FALSE,,Instantané,,,,,,
19,TRUE,35/51,Ville,Aurillac,,,1,,
T10,FALSE,,Instantané,,,,,,
20,TRUE,,Ville,Nevers,,,39,,
T11,FALSE,,Instantané,,,,,,
21,TRUE,,Ville,Chalon sur Saone,,,10,,
T12,FALSE,,Instantané,,,,,,
22,TRUE,,Ville,Belfort,,,29,,
T13,FALSE,,Instantané,,,,,,
23,TRUE,,Ville,Mulhouse,,,36,,
T14,FALSE,,Instantané,,,,,,
24,FALSE,,Ville,,,,,,
T15,FALSE,,Instantané,,,,,,
25,TRUE,,Ville,Evian les Bains,,,15,,
T16,FALSE,,Instantané,,,,,,
26,TRUE,,Ville,Voiron,,,17,,
T17,FALSE,,Instantané,,,,,,
27,FALSE,,Ville,,,,,,
T18,FALSE,,Instantané,,,,,,
28,TRUE,,Ville,Alpe d'Huez,,,0,⭐,
T19,FALSE,,Instantané,,,,,,
29,TRUE,,Ville,Le bourg d'Oisan,,,26,⭐,
T20,FALSE,,Instantané,,,,,,
30,TRUE,,Ville,Paris,,,25,⭐,
T21,FALSE,,Instantané,,,,,,
T22,FALSE,,Coureur,,,,,,
T23,FALSE,,Coureur,,,,,,
T24,FALSE,,Coureur,,,,,,
T25,FALSE,,Coureur,,,,,,
31,FALSE,,Logo,,,ALPECIN-PREMIER TECH,,,
32,TRUE,,Equipe,Team Alpecin,,ALPECIN-PREMIER TECH,13,,
33,TRUE,,Coureur,Mathieu Van der Poel,NED,ALPECIN-PREMIER TECH,23,⭐,
34,TRUE,,Coureur,Tibor del grosso ,NED,ALPECIN-PREMIER TECH,40,,
35,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
36,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
37,TRUE,,Maillot,Maillot Alpecin,,ALPECIN-PREMIER TECH,47,,
38,FALSE,,Vélo,,,ALPECIN-PREMIER TECH,,,
39,TRUE,52,Coureur,Jasper Philipsen,BEL,ALPECIN-PREMIER TECH,31,⭐,
40,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
41,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
42,TRUE,,Coureur,Emiel Verstrynge,BEL,ALPECIN-PREMIER TECH,26,,
43,TRUE,44,Coureur,Edward Planckaert,BEL,ALPECIN-PREMIER TECH,1,,
44,TRUE,,Coureur,Florian Senechal,FRA,ALPECIN-PREMIER TECH,14,,
45,TRUE,,Logo,Logo Barhain,,BAHRAIN VICTORIOUS,15,,
46,FALSE,,Equipe,,,BAHRAIN VICTORIOUS,,,
47,TRUE,,Coureur,Antonio Tiberi,ITA,BAHRAIN VICTORIOUS,35,,
48,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
49,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
50,TRUE,,Coureur,Phil Bauhaus ,GER,BAHRAIN VICTORIOUS,49,,
51,TRUE,,Maillot,Maillot Bahrain,,BAHRAIN VICTORIOUS,2,,
52,TRUE,,Vélo,Velo Bahrain,,BAHRAIN VICTORIOUS,34,,
53,TRUE,38,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,8,,
54,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
55,TRUE,,Coureur,Kamil Gradek,POL,BAHRAIN VICTORIOUS,17,,
56,TRUE,,Coureur,Matej Mohoric,SVN,BAHRAIN VICTORIOUS,20,,
57,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
58,TRUE,,Coureur,Attila Valter,HUN,BAHRAIN VICTORIOUS,3,,
59,FALSE,,Logo,,,DECATHLON CMA CGM TEAM,,,
60,TRUE,,Equipe,Team Decathlon,,DECATHLON CMA CGM TEAM,16,⭐,
61,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
62,TRUE,,Coureur,Paul Seixas,FRA,DECATHLON CMA CGM TEAM,22,⭐,2
63,TRUE,,Coureur,Tiesj Benoot,BEL,DECATHLON CMA CGM TEAM,9,,
64,TRUE,,Coureur,Stefan Bisseger,SUI,DECATHLON CMA CGM TEAM,21,,
65,FALSE,,Maillot,,,DECATHLON CMA CGM TEAM,,,
66,TRUE,,Vélo,Bike Decathlon,,DECATHLON CMA CGM TEAM,6,⭐,
67,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
68,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
69,TRUE,41,Coureur,Cees Bol,NED,DECATHLON CMA CGM TEAM,11,,
70,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
71,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
72,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
73,TRUE,,Logo,Logo EF,,EF EDUCATION - EASYPOST,36,,
74,FALSE,,Equipe,,,EF EDUCATION - EASYPOST,,,
75,TRUE,,Coureur,Richard Carapaz,ECU,EF EDUCATION - EASYPOST,11,⭐,
76,TRUE,,Coureur,Ben Healy,IRL,EF EDUCATION - EASYPOST,1,⭐,
77,TRUE,,Coureur,Alex Baudin,FRA,EF EDUCATION - EASYPOST,18,,
78,TRUE,,Coureur,Kasper Asgreen,DEN,EF EDUCATION - EASYPOST,36,,
79,TRUE,,Maillot,Maillot EF,,EF EDUCATION - EASYPOST,34,,
80,TRUE,46,Vélo,Velo EF,,EF EDUCATION - EASYPOST,34,,
81,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,,
82,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,,
83,TRUE,,Coureur,Harry Sweeny,AUS,EF EDUCATION - EASYPOST,14,⭐,
84,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,,
85,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,,
86,TRUE,,Coureur,Mikkel,DEN,EF EDUCATION - EASYPOST,27,,
87,TRUE,,Logo,Logo FDJ,,GROUPAMA - FDJ UNITED,7,,
88,TRUE,,Equipe,Team Groupama,,GROUPAMA - FDJ UNITED,21,,
89,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,,
90,TRUE,,Coureur,Ewen Costiou,FRA,GROUPAMA - FDJ UNITED,7,,
91,TRUE,46,Coureur,David Gaudu,FRA,GROUPAMA - FDJ UNITED,34,⭐,
92,TRUE,,Coureur,Romain Grégoire ,,GROUPAMA - FDJ UNITED,52,⭐,
93,FALSE,,Maillot,,,GROUPAMA - FDJ UNITED,,,
94,TRUE,,Vélo,Vélo FDJ,,GROUPAMA - FDJ UNITED,4,,
95,TRUE,,Coureur,Thibaud Gruel ,FRA,GROUPAMA - FDJ UNITED,45,,
96,TRUE,,Coureur,Valentin Madouas ,FRA,GROUPAMA - FDJ UNITED,51,,
97,TRUE,43,Coureur,Guillaume Martin-Guyonnet,FRA,GROUPAMA - FDJ UNITED,28,⭐,
98,TRUE,,Coureur,Paul Penhoet,FRA,GROUPAMA - FDJ UNITED,17,,
99,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,,
100,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,,
101,FALSE,,Logo,,,INEOS GRENADIERS,,,
102,TRUE,,Equipe,Team Ineos,,INEOS GRENADIERS,18,,
103,FALSE,,Coureur,,,INEOS GRENADIERS,,,
104,TRUE,,Coureur,Kevin Vauquelin,FRA,INEOS GRENADIERS,6,⭐,
105,TRUE,,Coureur,Thymen Arensman,NED,INEOS GRENADIERS,34,⭐,
106,TRUE,,Coureur,Filippo Ganna,ITA,INEOS GRENADIERS,26,⭐,
107,TRUE,35,Maillot,Maillot Ineos,,INEOS GRENADIERS,19,,
108,FALSE,,Vélo,,,INEOS GRENADIERS,,,
109,FALSE,,Coureur,,,INEOS GRENADIERS,,,
110,TRUE,38,Coureur,Jack Haig,AUS,INEOS GRENADIERS,33,,
111,TRUE,49,Coureur,Michal Kwiatkowski,POL,INEOS GRENADIERS,0,,
112,TRUE,,Coureur,Carlos Rodriguez ,ESP,INEOS GRENADIERS,41,,
113,TRUE,,Coureur,Josh Tarling,GBR,INEOS GRENADIERS,47,,
114,TRUE,,Coureur,Sam Watson,GBR,INEOS GRENADIERS,7,,
115,TRUE,,Logo,Logo Lidl ,,LIDL -TREK,39,,
116,TRUE,31,Equipe,Team Lidl,,LIDL -TREK,4,,
117,TRUE,40,Coureur,Juan Ayuso,ESP,LIDL -TREK,30,⭐,
118,TRUE,,Coureur,Mads Pedersen ,DEN,LIDL -TREK,38,⭐,
119,TRUE,,Coureur,Mattias Skjelmose,DEN,LIDL -TREK,46,,
120,TRUE,,Coureur,Giulio Ciccone ,ITA,LIDL -TREK,45,,
121,FALSE,,Maillot,,,LIDL -TREK,,,
122,FALSE,,Vélo,,,LIDL -TREK,,,
